  
    ************ Error Message List *************
  
    PW     --- Pathway                           
    Code   --- Error Type + Error Code           
    L#     --- The Line Number Where Error Occurs
    ModNam --- Module Name In Which Error Occurs 
    Hints  --- Hints For The Possible Solution   
    *********************************************
  
PW CODE    L#      MODNAM                       ERROR MESSAGES                      HINTS
-- ---- ------- ------------- -------------------------------------------------- ------------
  
CO W361      16       COCARD: Multiyear PERIOD/ANNUAL values for NO2/SO2 require MULTYEAR Opt
MX I440    7343       CHKCLM: Calm Hour Identified in Meteorology Data File at     2020110123
MX I440    7364       CHKCLM: Calm Hour Identified in Meteorology Data File at     2020110220
MX I440    7485       CHKCLM: Calm Hour Identified in Meteorology Data File at     2020110721
MX I460    7929  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020112609
MX I460    7930  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020112610
MX I460    7931  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020112611
MX I460    7932  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020112612
MX I460    7933  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020112613
MX I460    7934  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020112614
MX I460    7953  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020112709
MX I460    7954  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020112710
MX I460    7955  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020112711
MX I460    7956  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020112712
MX I460    7957  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020112713
MX I460    7958  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020112714
MX I440    8332       CHKCLM: Calm Hour Identified in Meteorology Data File at     2020121304
MX I440    8356       CHKCLM: Calm Hour Identified in Meteorology Data File at     2020121404
MX I440    8386       CHKCLM: Calm Hour Identified in Meteorology Data File at     2020121510
MX I440    8486       CHKCLM: Calm Hour Identified in Meteorology Data File at     2020121914
MX I440    8488       CHKCLM: Calm Hour Identified in Meteorology Data File at     2020121916
MX I440    8583       CHKCLM: Calm Hour Identified in Meteorology Data File at     2020122315
MX I440    8586       CHKCLM: Calm Hour Identified in Meteorology Data File at     2020122318
MX I460    8769  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020123109
MX I460    8770  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020123110
MX I460    8771  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020123111
MX I460    8772  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020123112
MX I460    8773  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020123113
MX I460    8774  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020123114
MX I460    8784  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020123124
